datetime,Inv,MPPT,P,Tamb,V,G,I,Tmod,P-AC
2024-05-02 05:00:00,462,819,,22.7,,1.691,,26.32,
2024-05-02 05:05:00,462,819,,22.883,,3.289,,26.4,
2024-05-02 05:10:00,462,819,,23.067,,6.719,,26.44,
2024-05-02 05:15:00,462,819,,23.25,,11.226,,26.6,
2024-05-02 05:20:00,462,819,,23.433,,15.752,,26.78,
2024-05-02 05:25:00,462,819,,23.617,,21.267,,27.1,
2024-05-02 05:30:00,462,819,,23.8,,26.23,,27.46,
2024-05-02 05:35:00,462,819,,23.983,,31.292,,27.8,
2024-05-02 05:40:00,462,819,,24.167,,37.763,,28.26,
2024-05-02 05:45:00,462,819,,24.35,,41.205,,28.78,
2024-05-02 05:50:00,462,819,,24.533,,45.723,,29.2,
2024-05-02 05:55:00,462,819,,24.717,,52.975,,29.42,
2024-05-02 06:00:00,462,819,,24.9,,62.197,,29.84,
2024-05-02 06:05:00,462,819,,25.175,,73.509,,30.033,
2024-05-02 06:10:00,462,819,,25.45,,91.514,,30.62,
2024-05-02 06:15:00,462,819,,25.725,,107.995,,31.44,
2024-05-02 06:20:00,462,819,,26.0,,123.68,,31.94,
2024-05-02 06:25:00,462,819,,26.275,,142.061,,32.48,
2024-05-02 06:30:00,462,819,,26.55,,,,,
2024-05-02 06:35:00,462,819,,26.825,,179.739,,33.867,
2024-05-02 06:40:00,462,819,,27.1,,184.85,,33.94,
2024-05-02 06:45:00,462,819,,27.375,,206.078,,35.04,
2024-05-02 06:50:00,462,819,,27.65,,209.583,,35.4,
2024-05-02 06:55:00,462,819,,27.925,,231.39,,36.62,
2024-05-02 07:00:00,462,819,,28.2,,252.033,,37.0,
2024-05-02 07:05:00,462,819,,28.442,,226.229,,37.5,
2024-05-02 07:10:00,462,819,,28.683,,268.462,,38.18,
2024-05-02 07:15:00,462,819,,28.925,,313.586,,40.14,
2024-05-02 07:20:00,462,819,,29.167,,305.237,,39.58,
2024-05-02 07:25:00,462,819,,29.408,,283.286,,39.18,
2024-05-02 07:30:00,462,819,,29.65,,318.293,,40.2,
2024-05-02 07:35:00,462,819,,29.892,,363.162,,41.6,
2024-05-02 07:40:00,462,819,,30.133,,386.958,,43.56,
2024-05-02 07:45:00,462,819,,30.375,,401.873,,43.72,
2024-05-02 07:50:00,462,819,,30.617,,439.591,,43.88,
2024-05-02 07:55:00,462,819,,30.858,,473.811,,45.4,
2024-05-02 08:00:00,462,819,,31.1,,495.912,,47.72,
2024-05-02 08:05:00,462,819,,31.383,,499.993,,49.72,
2024-05-02 08:10:00,462,819,,31.667,,499.178,,49.2,
2024-05-02 08:15:00,462,819,,31.95,,486.845,,47.78,
2024-05-02 08:20:00,462,819,,32.233,,470.38,,47.18,
2024-05-02 08:25:00,462,819,,32.517,,549.894,,47.86,
2024-05-02 08:30:00,462,819,,32.8,,561.35,,49.38,
2024-05-02 08:35:00,462,819,,33.083,,567.638,,49.8,
2024-05-02 08:40:00,462,819,,33.367,,597.875,,50.28,
2024-05-02 08:45:00,462,819,,33.65,,646.302,,51.48,
2024-05-02 08:50:00,462,819,,33.933,,668.738,,54.433,
2024-05-02 08:55:00,462,819,,34.217,,657.987,,55.6,
2024-05-02 09:00:00,462,819,,34.5,,683.161,,55.74,
2024-05-02 09:05:00,462,819,,34.683,,704.873,,56.68,
2024-05-02 09:10:00,462,819,,34.867,,689.712,,56.9,
2024-05-02 09:15:00,462,819,,35.05,,673.181,,55.78,
2024-05-02 09:20:00,462,819,,35.233,,621.671,,55.52,
2024-05-02 09:25:00,462,819,,35.417,,654.855,,56.1,
2024-05-02 09:30:00,462,819,,35.6,,675.792,,56.04,
2024-05-02 09:35:00,462,819,,35.783,,691.07,,57.36,
2024-05-02 09:40:00,462,819,,35.967,,691.862,,57.18,
2024-05-02 09:45:00,462,819,,36.15,,720.084,,57.4,
2024-05-02 09:50:00,462,819,,36.333,,722.601,,58.86,
2024-05-02 09:55:00,462,819,,36.517,,725.104,,59.175,
2024-05-02 10:00:00,462,819,,36.7,,,,,
2024-05-02 10:05:00,462,819,,36.742,,719.97,,60.28,
2024-05-02 10:10:00,462,819,,36.783,,730.366,,60.28,
2024-05-02 10:15:00,462,819,,36.825,,811.515,,61.72,
2024-05-02 10:20:00,462,819,,36.867,,783.87,,63.26,
2024-05-02 10:25:00,462,819,,36.908,,828.263,,63.88,
2024-05-02 10:30:00,462,819,,36.95,,817.506,,65.04,
2024-05-02 10:35:00,462,819,,36.992,,801.545,,66.8,
2024-05-02 10:40:00,462,819,,37.033,,697.204,,65.42,
2024-05-02 10:45:00,462,819,,37.075,,742.44,,63.88,
2024-05-02 10:50:00,462,819,,37.117,,740.442,,62.8,
2024-05-02 10:55:00,462,819,,37.158,,786.542,,61.72,
2024-05-02 11:00:00,462,819,,37.2,,827.821,,65.0,
2024-05-02 11:05:00,462,819,,37.183,,852.473,,65.8,
2024-05-02 11:10:00,462,819,,37.167,,871.987,,67.6,
2024-05-02 11:15:00,462,819,,37.15,,872.196,,69.66,
2024-05-02 11:20:00,462,819,,37.133,,,,,
2024-05-02 11:25:00,462,819,,37.117,,855.471,,66.933,
2024-05-02 11:30:00,462,819,,37.1,,873.274,,68.56,
2024-05-02 11:35:00,462,819,,37.083,,866.52,,69.44,
2024-05-02 11:40:00,462,819,,37.067,,825.588,,68.26,
2024-05-02 11:45:00,462,819,,37.05,,790.608,,65.94,
2024-05-02 11:50:00,462,819,,37.033,,807.179,,65.1,
2024-05-02 11:55:00,462,819,,37.017,,795.463,,66.92,
2024-05-02 12:00:00,462,819,,37.0,,771.974,,67.267,
2024-05-02 12:05:00,462,819,,37.058,,776.51,,68.28,
2024-05-02 12:10:00,462,819,,37.117,,743.074,,67.3,
2024-05-02 12:15:00,462,819,,37.175,,776.484,,68.16,
