datetime,Inv,MPPT,P,Tamb,V,G,I,Tmod,P-AC
2024-05-01 05:15:00,549,1040,15.45,26.4,542.991,6.138,0.027,26.0,14.992
2024-05-01 05:20:00,549,1040,214.628,26.467,577.737,12.721,0.372,26.04,205.857
2024-05-01 05:25:00,549,1040,569.83,26.533,578.733,22.287,0.983,26.14,542.739
2024-05-01 05:30:00,549,1040,1022.283,26.6,601.37,33.647,1.698,26.26,976.45
2024-05-01 05:35:00,549,1040,1561.183,26.667,615.228,46.874,2.537,26.48,1484.795
2024-05-01 05:40:00,549,1040,2141.586,26.733,625.563,61.031,3.422,26.72,2041.028
2024-05-01 05:45:00,549,1040,2816.2,26.8,634.101,76.854,4.441,27.04,2675.85
2024-05-01 05:50:00,549,1040,3593.528,26.867,641.658,92.607,5.599,27.32,3419.367
2024-05-01 05:55:00,549,1040,4360.187,26.933,645.558,108.677,6.753,27.66,4158.742
2024-05-01 06:00:00,549,1040,5198.517,27.0,649.679,125.641,8.002,28.12,4951.583
2024-05-01 06:05:00,549,1040,6109.815,27.2,654.771,141.889,9.331,28.68,5834.96
2024-05-01 06:10:00,549,1040,6994.95,27.4,655.673,159.019,10.668,29.14,6663.667
2024-05-01 06:15:00,549,1040,,27.6,,177.007,,29.55,
2024-05-01 06:20:00,549,1040,,27.8,,213.704,,30.0,
2024-05-01 06:25:00,549,1040,,28.0,,229.422,,30.56,6792.0
2024-05-01 06:30:00,549,1040,11190.336,28.2,701.634,258.904,15.955,31.52,1128.0
2024-05-01 06:35:00,549,1040,9290.006,28.4,722.144,278.6,13.197,32.24,8792.435
2024-05-01 06:40:00,549,1040,14778.183,28.6,667.869,292.021,22.128,32.8,14112.078
2024-05-01 06:45:00,549,1040,15241.35,28.8,672.636,311.205,22.756,33.4,14055.1
2024-05-01 06:50:00,549,1040,16599.333,29.0,678.258,337.325,24.545,33.94,15966.125
2024-05-01 06:55:00,549,1040,18517.294,29.2,672.25,364.222,27.555,34.66,17612.818
2024-05-01 07:00:00,549,1040,19240.968,29.4,680.651,376.823,28.322,35.36,18378.672
2024-05-01 07:05:00,549,1040,20083.128,29.5,688.185,425.445,29.235,36.58,19102.096
2024-05-01 07:10:00,549,1040,20739.8,29.6,720.929,478.246,28.771,37.86,19713.194
2024-05-01 07:15:00,549,1040,18973.533,29.7,737.389,541.987,25.849,39.14,19939.683
2024-05-01 07:20:00,549,1040,20412.017,29.8,743.186,543.011,27.466,40.26,19398.35
2024-05-01 07:25:00,549,1040,19764.819,29.9,741.795,571.991,26.645,41.12,18825.002
2024-05-01 07:30:00,549,1040,20317.891,30.0,742.782,615.895,27.355,42.24,19364.218
2024-05-01 07:35:00,549,1040,19558.282,30.1,746.528,631.19,26.215,43.1,18609.155
2024-05-01 07:40:00,549,1040,19286.872,30.2,746.119,619.006,25.85,43.24,18610.244
2024-05-01 07:45:00,549,1040,19780.128,30.3,742.084,607.872,26.657,42.98,17551.392
2024-05-01 07:50:00,549,1040,18538.933,30.4,743.359,574.981,24.991,43.12,17127.701
2024-05-01 07:55:00,549,1040,20801.467,30.5,734.546,586.964,28.343,43.28,17352.0
2024-05-01 08:00:00,549,1040,20929.018,30.6,737.551,619.098,28.378,43.62,19759.993
2024-05-01 08:05:00,549,1040,21675.8,30.692,739.478,679.072,29.312,44.78,20633.089
2024-05-01 08:10:00,549,1040,19212.085,30.783,747.828,681.534,25.768,46.32,18307.201
2024-05-01 08:15:00,549,1040,20508.844,30.875,741.829,633.553,27.737,46.02,19598.887
2024-05-01 08:20:00,549,1040,22875.526,30.967,732.817,657.488,31.239,46.08,20986.297
2024-05-01 08:25:00,549,1040,23157.46,31.058,733.563,644.383,31.571,45.96,22072.32
2024-05-01 08:30:00,549,1040,22412.317,31.15,733.789,521.154,30.543,45.06,21225.892
2024-05-01 08:35:00,549,1040,20004.313,31.242,726.558,459.213,27.586,43.9,18209.522
2024-05-01 08:40:00,549,1040,21277.759,31.333,715.074,482.646,29.773,43.18,20063.685
2024-05-01 08:45:00,549,1040,19780.575,31.425,725.961,457.905,27.324,43.06,17199.188
2024-05-01 08:50:00,549,1040,18848.58,31.517,720.099,457.014,26.37,42.2,18759.208
2024-05-01 08:55:00,549,1040,22018.336,31.608,714.329,420.09,30.901,42.12,20468.201
2024-05-01 09:00:00,549,1040,20860.367,31.7,707.797,396.081,29.623,41.86,19250.557
2024-05-01 09:05:00,549,1040,20794.323,31.917,703.346,383.677,29.677,41.44,20807.05
