datetime,Inv,MPPT,P,Tamb,V,G,I,Tmod,P-AC
2024-05-01 05:35:00,438,795,,25.0,,2.599,,25.8,
2024-05-01 05:40:00,438,795,,25.0,,,,,
2024-05-01 05:45:00,438,795,,25.0,,,,,0.0
2024-05-01 05:50:00,438,795,,25.0,,,,,0.0
2024-05-01 05:55:00,438,795,,25.0,,,,,0.0
2024-05-01 06:00:00,438,795,,25.0,,,,,0.0
2024-05-01 06:05:00,438,795,,25.083,,,,,0.0
2024-05-01 06:10:00,438,795,,25.167,,,,,0.0
2024-05-01 06:15:00,438,795,,25.25,,,,,0.0
2024-05-01 06:20:00,438,795,,25.333,,,,,0.0
2024-05-01 06:25:00,438,795,,25.417,,,,,0.0
2024-05-01 06:30:00,438,795,,25.5,,,,,0.0
2024-05-01 06:35:00,438,795,,25.583,,,,,0.0
2024-05-01 06:40:00,438,795,,25.667,,,,,0.0
2024-05-01 06:45:00,438,795,,25.75,,,,,0.0
2024-05-01 06:50:00,438,795,,25.833,,,,,0.0
2024-05-01 06:55:00,438,795,,25.917,,,,,0.0
2024-05-01 07:00:00,438,795,,26.0,,,,,0.0
2024-05-01 07:05:00,438,795,,26.425,,,,,0.0
2024-05-01 07:10:00,438,795,,26.85,,,,,0.0
2024-05-01 07:15:00,438,795,,27.275,,,,,0.0
2024-05-01 07:20:00,438,795,,27.7,,,,,0.0
2024-05-01 07:25:00,438,795,,28.125,,,,,0.0
2024-05-01 07:30:00,438,795,,28.55,,,,,0.0
2024-05-01 07:35:00,438,795,,28.975,,,,,0.0
2024-05-01 07:40:00,438,795,,29.4,,,,,0.0
2024-05-01 07:45:00,438,795,,29.825,,,,,0.0
2024-05-01 07:50:00,438,795,,30.25,,,,,0.0
2024-05-01 07:55:00,438,795,,30.675,,,,,0.0
2024-05-01 08:00:00,438,795,,31.1,,,,,0.0
2024-05-01 08:05:00,438,795,,30.925,,,,,0.0
2024-05-01 08:10:00,438,795,,30.75,,,,,0.0
2024-05-01 08:15:00,438,795,,30.575,,,,,0.0
2024-05-01 08:20:00,438,795,,30.4,,,,,0.0
2024-05-01 08:25:00,438,795,,30.225,,330.257,,41.2,0.0
2024-05-01 08:30:00,438,795,0.0,30.05,746.047,395.051,0.0,41.78,0.0
2024-05-01 08:35:00,438,795,0.0,29.875,748.37,409.65,0.0,42.56,0.0
2024-05-01 08:40:00,438,795,0.0,29.7,749.461,536.475,0.0,43.72,0.0
