datetime,Inv,MPPT,P,Tamb,V,G,I,Tmod,P-AC
2024-05-01 05:10:00,464,820,19.967,23.617,270.302,4.916,0.034,24.2,19.017
2024-05-01 05:15:00,464,820,214.433,23.725,577.96,9.605,0.371,24.35,204.417
2024-05-01 05:20:00,464,820,485.083,23.833,603.406,13.586,0.799,24.467,461.15
2024-05-01 05:25:00,464,820,700.983,23.942,629.304,16.016,1.114,24.55,667.433
2024-05-01 05:30:00,464,820,790.45,24.05,635.418,16.713,1.243,24.775,752.933
2024-05-01 05:35:00,464,820,934.983,24.158,649.016,19.248,1.441,24.867,889.6
2024-05-01 05:40:00,464,820,967.5,24.267,652.437,22.789,1.483,25.075,920.233
2024-05-01 05:45:00,464,820,1043.683,24.375,706.929,28.415,1.484,25.35,992.717
2024-05-01 05:50:00,464,820,1108.433,24.483,731.708,35.963,1.544,25.6,1056.983
2024-05-01 05:55:00,464,820,1029.217,24.592,771.868,48.474,1.333,25.767,979.117
2024-05-01 06:00:00,464,820,1029.4,24.7,789.968,59.668,1.303,25.925,979.617
2024-05-01 06:05:00,464,820,1028.917,24.908,803.339,69.449,1.281,25.475,979.117
2024-05-01 06:10:00,464,820,1029.017,25.117,811.566,76.831,1.268,25.5,979.083
2024-05-01 06:15:00,464,820,1028.8,25.325,817.656,77.552,1.258,25.85,979.15
2024-05-01 06:20:00,464,820,1028.733,25.533,818.68,83.296,1.257,26.075,978.967
2024-05-01 06:25:00,464,820,1028.883,25.742,821.585,80.027,1.252,26.167,979.1
2024-05-01 06:30:00,464,820,1028.5,25.95,820.129,78.14,1.254,26.15,978.65
2024-05-01 06:35:00,464,820,1028.817,26.158,819.357,88.047,1.256,26.3,978.917
2024-05-01 06:40:00,464,820,1029.333,26.367,824.629,102.774,1.248,26.775,979.367
2024-05-01 06:45:00,464,820,1028.967,26.575,830.76,118.508,1.239,27.3,979.217
2024-05-01 06:50:00,464,820,1029.333,26.783,836.044,141.091,1.231,28.05,979.383
2024-05-01 06:55:00,464,820,1028.883,26.992,841.425,182.119,1.223,29.325,979.067
2024-05-01 07:00:00,464,820,1952.467,27.2,840.425,225.517,2.449,30.867,1860.967
2024-05-01 07:05:00,464,820,1532.967,27.425,846.717,280.332,1.932,32.475,1456.067
2024-05-01 07:10:00,464,820,1192.383,27.65,854.549,339.735,1.398,34.675,1134.467
2024-05-01 07:15:00,464,820,2161.683,27.875,853.95,390.209,2.554,37.175,2057.683
2024-05-01 07:20:00,464,820,2718.617,28.1,851.877,426.469,3.226,39.267,2588.633
2024-05-01 07:25:00,464,820,1029.133,28.325,850.473,468.411,1.21,41.6,979.133
2024-05-01 07:30:00,464,820,1028.817,28.55,846.819,519.195,1.215,44.05,978.65
2024-05-01 07:35:00,464,820,2129.433,28.775,841.398,590.373,2.546,46.333,2027.917
2024-05-01 07:40:00,464,820,1028.567,29.0,840.237,605.847,1.224,48.45,978.833
2024-05-01 07:45:00,464,820,1101.75,29.225,834.465,519.808,1.32,47.625,1049.05
2024-05-01 07:50:00,464,820,1028.833,29.45,827.142,578.232,1.244,47.525,978.933
2024-05-01 07:55:00,464,820,3322.167,29.675,827.739,678.313,4.036,49.567,3162.3
2024-05-01 08:00:00,464,820,2026.183,29.9,833.196,682.349,2.449,51.475,1928.717
2024-05-01 08:05:00,464,820,1173.65,30.117,828.903,775.355,1.417,52.325,1116.05
2024-05-01 08:10:00,464,820,3254.317,30.333,827.539,694.521,3.962,52.7,3097.367
2024-05-01 08:15:00,464,820,1553.85,30.55,822.972,684.241,1.894,52.15,1478.483
2024-05-01 08:20:00,464,820,1029.117,30.767,826.101,496.824,1.246,50.3,979.533
2024-05-01 08:25:00,464,820,1029.067,30.983,818.155,457.004,1.258,47.433,979.467
2024-05-01 08:30:00,464,820,1028.783,31.2,824.417,520.596,1.248,47.05,979.083
2024-05-01 08:35:00,464,820,281.383,31.417,833.353,658.491,0.338,47.85,267.717
2024-05-01 08:40:00,464,820,1815.217,31.633,837.779,765.58,2.173,50.075,1726.867
